target,seed,method,source_method,round,base_hv,upper_hv,hv,gain_ratio,gap_to_upper
F2,43,upper_bound,random,9,180.01705932617188,198.34080505371094,198.34080505371094,1.0,0.0
F2,43,upper_bound,random,10,180.01705932617188,198.602294921875,198.602294921875,1.0,0.0
F2,43,random,random,10,180.01705932617188,198.602294921875,188.1273498535156,0.4363835198956965,10.474945068359403
JAK2,43,upper_bound,random,0,190.1666717529297,190.1666717529297,190.1666717529297,0.0,0.0
JAK2,43,upper_bound,random,1,190.1666717529297,199.384521484375,199.384521484375,1.0,0.0
JAK2,43,upper_bound,random,2,190.1666717529297,203.5136260986328,203.5136260986328,1.0,0.0
JAK2,43,upper_bound,random,3,190.1666717529297,203.88636779785156,203.88636779785156,1.0,0.0
JAK2,43,upper_bound,random,4,190.1666717529297,204.66879272460938,204.66879272460938,1.0,0.0
JAK2,43,upper_bound,random,5,190.1666717529297,205.00790405273438,205.00790405273438,1.0,0.0
JAK2,43,upper_bound,random,6,190.1666717529297,205.92544555664062,205.92544555664062,1.0,0.0
JAK2,43,upper_bound,random,7,190.1666717529297,205.94100952148438,205.94100952148438,1.0,0.0
JAK2,43,upper_bound,random,8,190.1666717529297,207.78475952148438,207.78475952148438,1.0,0.0
JAK2,43,upper_bound,random,9,190.1666717529297,207.84243774414062,207.84243774414062,1.0,0.0
JAK2,43,upper_bound,random,10,190.1666717529297,208.4510498046875,208.4510498046875,1.0,0.0
JAK2,43,random,random,10,190.1666717529297,208.4510498046875,196.4656219482422,0.3444990131729931,11.985427856445312
KIT,43,upper_bound,random,0,174.3249969482422,174.3249969482422,174.3249969482422,0.0,0.0
KIT,43,upper_bound,random,1,174.3249969482422,189.93910217285156,189.93910217285156,1.0,0.0
KIT,43,upper_bound,random,2,174.3249969482422,191.91448974609375,191.91448974609375,1.0,0.0
KIT,43,upper_bound,random,3,174.3249969482422,194.3401336669922,194.3401336669922,1.0,0.0
KIT,43,upper_bound,random,4,174.3249969482422,194.56472778320312,194.56472778320312,1.0,0.0
KIT,43,upper_bound,random,5,174.3249969482422,194.73829650878906,194.73829650878906,1.0,0.0
KIT,43,upper_bound,random,6,174.3249969482422,195.95803833007812,195.95803833007812,1.0,0.0
KIT,43,upper_bound,random,7,174.3249969482422,196.3869171142578,196.3869171142578,1.0,0.0
