panel_id,compound_id,compound_name,cell_line,plate_id,source_sheet,measurement_type,replicate,od450
M6,T60904,ERCC1-XPF-IN-2,SW480,2,SW480 2,blank,3,0.3284
M1,T9335,"1,1'-Methylenedi-2-naphthol",LoVo,1,LOVO 1,treatment,1,1.336
M1,T9335,"1,1'-Methylenedi-2-naphthol",LoVo,1,LOVO 1,treatment,2,1.2923
M1,T9335,"1,1'-Methylenedi-2-naphthol",LoVo,1,LOVO 1,treatment,3,1.363
M1,T9335,"1,1'-Methylenedi-2-naphthol",LoVo,1,LOVO 1,normalization_reference,1,1.5127
M1,T9335,"1,1'-Methylenedi-2-naphthol",LoVo,1,LOVO 1,normalization_reference,2,1.511
M1,T9335,"1,1'-Methylenedi-2-naphthol",LoVo,1,LOVO 1,normalization_reference,3,1.5146
M1,T9335,"1,1'-Methylenedi-2-naphthol",LoVo,1,LOVO 1,blank,1,0.2342
M1,T9335,"1,1'-Methylenedi-2-naphthol",LoVo,1,LOVO 1,blank,2,0.2221
M1,T9335,"1,1'-Methylenedi-2-naphthol",LoVo,1,LOVO 1,blank,3,0.2346
M2,T61189,E7016,LoVo,1,LOVO 1,treatment,1,0.3414
M2,T61189,E7016,LoVo,1,LOVO 1,treatment,2,0.3501
M2,T61189,E7016,LoVo,1,LOVO 1,treatment,3,0.355
M2,T61189,E7016,LoVo,1,LOVO 1,normalization_reference,1,1.5127
M2,T61189,E7016,LoVo,1,LOVO 1,normalization_reference,2,1.511
M2,T61189,E7016,LoVo,1,LOVO 1,normalization_reference,3,1.5146
M2,T61189,E7016,LoVo,1,LOVO 1,blank,1,0.2342
M2,T61189,E7016,LoVo,1,LOVO 1,blank,2,0.2221
M2,T61189,E7016,LoVo,1,LOVO 1,blank,3,0.2346
M3,T12502,PLpro inhibitor,LoVo,2,LOVO 2,treatment,1,1.4035
M3,T12502,PLpro inhibitor,LoVo,2,LOVO 2,treatment,2,1.3341
M3,T12502,PLpro inhibitor,LoVo,2,LOVO 2,treatment,3,1.3208
M3,T12502,PLpro inhibitor,LoVo,2,LOVO 2,normalization_reference,1,1.4387
M3,T12502,PLpro inhibitor,LoVo,2,LOVO 2,normalization_reference,2,1.4317
M3,T12502,PLpro inhibitor,LoVo,2,LOVO 2,normalization_reference,3,1.3892
M3,T12502,PLpro inhibitor,LoVo,2,LOVO 2,blank,1,0.2089
M3,T12502,PLpro inhibitor,LoVo,2,LOVO 2,blank,2,0.1969
M3,T12502,PLpro inhibitor,LoVo,2,LOVO 2,blank,3,0.2136
M4,T6853,GSK591,LoVo,2,LOVO 2,treatment,1,1.0991
M4,T6853,GSK591,LoVo,2,LOVO 2,treatment,2,1.077
M4,T6853,GSK591,LoVo,2,LOVO 2,treatment,3,1.0754
M4,T6853,GSK591,LoVo,2,LOVO 2,normalization_reference,1,1.4387
M4,T6853,GSK591,LoVo,2,LOVO 2,normalization_reference,2,1.4317
M4,T6853,GSK591,LoVo,2,LOVO 2,normalization_reference,3,1.3892
M4,T6853,GSK591,LoVo,2,LOVO 2,blank,1,0.2089
M4,T6853,GSK591,LoVo,2,LOVO 2,blank,2,0.1969
M4,T6853,GSK591,LoVo,2,LOVO 2,blank,3,0.2136
M5,T6980,Scriptaid,LoVo,2,LOVO 2,treatment,1,0.2596
M5,T6980,Scriptaid,LoVo,2,LOVO 2,treatment,2,0.269
M5,T6980,Scriptaid,LoVo,2,LOVO 2,treatment,3,0.2524
M5,T6980,Scriptaid,LoVo,2,LOVO 2,normalization_reference,1,1.4387
M5,T6980,Scriptaid,LoVo,2,LOVO 2,normalization_reference,2,1.4317
M5,T6980,Scriptaid,LoVo,2,LOVO 2,normalization_reference,3,1.3892
