target,method,round,hv_mean,hv_sd,delta_vs_greedy_round_hv_mean,threshold_rate_mean,mean_selected_dock_mean,candidate_test_spearman_mean,candidate_test_cov2_mean,train_seconds_mean,score_seconds_mean
F2,analytic_ehvi,3,188.4952331542969,1.9439058116544001,0.8283691406250455,0.036,-9.1084,0.8112401802557582,0.9534825472996353,147.64959944188595,3.258836943283677
F2,analytic_ehvi,4,191.91715393066406,2.317009742910156,3.0865509033203127,0.046,-9.2024,0.8167525778483302,0.960071267163293,160.29302102811636,3.3210580378770826
F2,analytic_ehvi,5,193.77413024902344,1.8441309349927857,3.6839721679687387,0.032,-9.1722,0.8211600261127738,0.9592180730644152,175.473742345348,3.2865230578929188
F2,analytic_ehvi,6,194.9074951171875,1.3550040211477772,3.6102966308593865,0.03,-9.1476,0.8297262291930922,0.9545642092575738,202.34942623600364,3.326889856904745
F2,analytic_ehvi,7,195.57884826660157,0.7176235703926407,3.1969909667968865,0.028000000000000004,-9.244,0.8333349349912051,0.9580539637508805,200.05509378127755,3.3672586239874365
F2,analytic_ehvi,8,196.09207458496093,0.9207343438966931,3.127304077148449,0.044,-9.233999999999998,0.8354460958819235,0.9543331273498115,237.29970866031945,3.3017360784113405
F2,analytic_ehvi,9,196.36815490722657,0.7606413876536551,3.1443603515625,0.024,-9.277000000000001,0.8355500923821756,0.9527377376227717,235.749827298522,3.182922162115574
F2,analytic_ehvi,10,196.7343536376953,0.5610966603694206,2.6002319335937387,0.034,-9.3262,0.8382332387129843,0.9449952704849199,273.09221387021245,3.312662900611758
F2,analytic_pomhi,1,180.6329772949219,2.313171365666902,-1.0503906250000115,0.0,-7.6654,0.6974140927359747,0.9469956231163816,116.41346172839403,17.95562869645655
F2,analytic_pomhi,2,186.12705688476564,1.6783026635599942,0.0866302490234375,0.048,-9.0014,0.7988710642781448,0.9455970662782814,114.90987543687224,17.363054021075367
F2,analytic_pomhi,3,188.99225158691405,2.5597466204555306,1.3253875732422045,0.054000000000000006,-9.208400000000001,0.8183480752937091,0.9556206092290893,149.96621467135847,17.189078733697535
F2,analytic_pomhi,4,191.68941650390624,2.108417656048052,2.8588134765625055,0.042,-9.2842,0.8143629858333654,0.9505973202601862,165.06797685362397,16.542953583598138
F2,analytic_pomhi,5,193.5949676513672,1.7545822194849368,3.504809570312483,0.036,-9.2108,0.8176737274216578,0.9515473341644201,175.62010360732674,16.66059710122645
